14,1,1,0,20,0
15,1,1,50,30,95
22,1,12,45,25,100
33,1,1,50,35,100
34,1,1,85,15,100
36,1,1,90,20,85
38,1,1,120,15,100
45,1,1,0,40,100
72,1,12,40,15,100
73,1,12,0,10,90
74,1,1,0,20,0
75,1,12,55,25,95
76,1,12,120,10,100
77,1,4,0,35,75
79,1,12,0,15,75
92,1,4,0,10,90
99,1,1,20,20,100
102,1,1,0,10,0
104,1,1,0,15,0
115,1,14,0,20,0
117,1,1,1,10,0
156,1,14,0,10,0
164,1,1,0,10,0
13,1,1,80,10,100
29,1,1,70,15,100
80,1,12,120,10,100
111,1,1,0,40,0
113,1,14,0,30,0
130,1,1,130,10,100
148,1,1,0,20,100
173,1,1,50,15,100
174,1,8,0,10,0
182,1,1,0,10,0
189,1,5,20,10,100
202,1,12,75,10,100
203,1,1,0,10,0
204,1,18,0,20,100
207,1,1,0,15,90
210,1,7,40,20,95
213,1,1,0,15,100
214,1,1,0,10,0
216,1,1,1,20,100
218,1,1,1,20,100
219,1,1,0,25,0
230,1,1,0,20,100
235,1,12,0,5,0
237,1,1,60,15,100
241,1,10,0,5,0
70,1,1,80,15,100
188,1,4,90,10,100
249,1,2,40,15,100
263,1,1,70,20,100
290,1,1,70,20,100
320,1,12,0,15,55
331,1,12,25,30,100
345,1,12,60,20,0
133,1,14,0,20,0
267,1,1,0,20,0
275,1,12,0,20,0
282,1,17,65,25,100
81,1,7,0,40,95
124,1,4,65,20,100
20,1,1,15,20,85
14,2,1,0,20,0
15,2,1,50,30,95
22,2,12,45,25,100
33,2,1,50,35,100
34,2,1,85,15,100
36,2,1,90,20,85
38,2,1,120,15,100
45,2,1,0,40,100
72,2,12,40,15,100
73,2,12,0,10,90
74,2,1,0,20,0
75,2,12,55,25,95
76,2,12,120,10,100
77,2,4,0,35,75
79,2,12,0,15,75
92,2,4,0,10,90
99,2,1,20,20,100
102,2,1,0,10,0
104,2,1,0,15,0
115,2,14,0,20,0
117,2,1,1,10,0
156,2,14,0,10,0
164,2,1,0,10,0
29,2,1,70,15,100
111,2,1,0,40,0
148,2,1,0,20,100
173,2,1,50,15,100
174,2,8,0,10,0
182,2,1,0,10,0
189,2,5,20,10,100
202,2,12,75,10,100
203,2,1,0,10,0
207,2,1,0,15,90
210,2,7,40,20,95
213,2,1,0,15,100
214,2,1,0,10,0
216,2,1,1,20,100
218,2,1,1,20,100
230,2,1,0,20,100
235,2,12,0,5,0
237,2,1,60,15,100
241,2,10,0,5,0
70,2,1,80,15,100
188,2,4,90,10,100
249,2,2,40,15,100
263,2,1,70,20,100
290,2,1,70,20,100
331,2,12,25,30,100
282,2,17,65,25,100
81,2,7,0,40,95
113,2,14,0,30,0
219,2,1,0,25,0
20,2,1,15,20,85
267,2,1,0,20,0
14,3,1,0,20,0
15,3,1,50,30,95
22,3,12,45,25,100
33,3,1,50,35,100
34,3,1,85,15,100
36,3,1,90,20,85
38,3,1,120,15,100
45,3,1,0,40,100
63,3,1,150,5,90
72,3,12,40,15,100
73,3,12,0,10,90
74,3,1,0,20,0
75,3,12,55,25,95
76,3,12,120,10,100
77,3,4,0,35,75
79,3,12,0,15,75
92,3,4,0,10,90
99,3,1,20,20,100
102,3,1,0,10,0
104,3,1,0,15,0
115,3,14,0,20,0
117,3,1,1,10,0
156,3,14,0,10,0
164,3,1,0,10,0
29,3,1,70,15,100
46,3,1,0,20,0
111,3,1,0,40,0
148,3,1,0,20,100
173,3,1,50,15,100
174,3,8,0,10,0
182,3,1,0,10,0
189,3,5,20,10,100
202,3,12,75,10,100
203,3,1,0,10,0
207,3,1,0,15,90
210,3,7,40,20,95
213,3,1,0,15,100
214,3,1,0,10,0
216,3,1,1,20,100
218,3,1,1,20,100
230,3,1,0,20,100
235,3,12,0,5,0
237,3,1,60,15,100
241,3,10,0,5,0
70,3,1,80,15,100
89,3,5,100,10,100
188,3,4,90,10,100
249,3,2,40,15,100
263,3,1,70,20,100
290,3,1,70,20,100
331,3,12,25,30,100
338,3,12,150,5,90
80,3,12,120,10,100
200,3,16,120,10,100
282,3,17,65,25,100
81,3,7,0,40,95
335,3,1,0,5,0
113,3,14,0,30,0
219,3,1,0,25,0
20,3,1,15,20,85
267,3,1,0,20,0
5,4,1,80,20,85
10,4,1,40,35,100
14,4,1,0,20,0
15,4,1,50,30,95
25,4,1,120,5,75
34,4,1,85,15,100
36,4,1,90,20,85
38,4,1,120,15,100
43,4,1,0,30,100
45,4,1,0,40,100
52,4,10,40,25,100
53,4,10,90,15,100
66,4,2,80,25,80
68,4,2,1,20,100
69,4,2,1,20,100
70,4,1,80,15,100
82,4,16,1,10,100
83,4,10,35,15,85
91,4,5,80,10,100
92,4,4,0,10,90
99,4,1,20,20,100
102,4,1,0,10,0
104,4,1,0,15,0
115,4,14,0,20,0
117,4,1,1,10,0
126,4,10,110,5,85
129,4,1,60,20,0
130,4,1,130,10,100
156,4,14,0,10,0
163,4,1,70,20,100
164,4,1,0,10,0
7,4,10,75,15,100
29,4,1,70,15,100
44,4,17,60,25,100
108,4,1,0,20,100
111,4,1,0,40,0
157,4,6,75,10,90
173,4,1,50,15,100
174,4,8,0,10,0
182,4,1,0,10,0
184,4,1,0,10,100
187,4,1,0,10,0
189,4,5,20,10,100
200,4,16,120,10,100
203,4,1,0,10,0
207,4,1,0,15,90
210,4,7,40,20,95
213,4,1,0,15,100
214,4,1,0,10,0
216,4,1,1,20,100
218,4,1,1,20,100
223,4,2,100,5,50
225,4,16,60,20,100
231,4,9,100,15,75
237,4,1,60,15,100
241,4,10,0,5,0
246,4,6,60,5,100
249,4,2,40,15,100
251,4,17,1,10,100
263,4,1,70,20,100
264,4,2,150,20,100
280,4,2,75,15,100
290,4,1,70,20,100
315,4,10,130,5,90
332,4,3,60,20,0
337,4,16,80,15,100
349,4,16,0,20,0
232,4,9,50,35,95
242,4,17,80,15,100
261,4,10,0,15,85
317,4,6,60,15,95
9,4,13,75,15,100
257,4,10,95,10,90
314,4,3,60,25,95
5,5,1,80,20,85
10,5,1,40,35,100
14,5,1,0,20,0
15,5,1,50,30,95
25,5,1,120,5,75
34,5,1,85,15,100
36,5,1,90,20,85
38,5,1,120,15,100
43,5,1,0,30,100
45,5,1,0,40,100
52,5,10,40,25,100
53,5,10,90,15,100
66,5,2,80,25,80
68,5,2,1,20,100
69,5,2,1,20,100
70,5,1,80,15,100
82,5,16,1,10,100
83,5,10,35,15,85
91,5,5,80,10,100
92,5,4,0,10,90
99,5,1,20,20,100
102,5,1,0,10,0
104,5,1,0,15,0
115,5,14,0,20,0
117,5,1,1,10,0
126,5,10,110,5,85
129,5,1,60,20,0
130,5,1,130,10,100
156,5,14,0,10,0
163,5,1,70,20,100
164,5,1,0,10,0
7,5,10,75,15,100
29,5,1,70,15,100
108,5,1,0,20,100
111,5,1,0,40,0
173,5,1,50,15,100
174,5,8,0,10,0
182,5,1,0,10,0
184,5,1,0,10,100
189,5,5,20,10,100
203,5,1,0,10,0
207,5,1,0,15,90
210,5,7,40,20,95
213,5,1,0,15,100
214,5,1,0,10,0
216,5,1,1,20,100
